MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71899760,1,20161114,1117,0,0,0,2,2,70,38.86731,-84.641907,5,4,6,1,1,2,2,001-KY-0055  -,0
71902672,1,20161128,545,0,0,5,11,9,70,37.987911,-85.702164,5,7,6,2,1,3,7,001-KY-0055  -,1
71904574,1,20161130,55,0,1,0,2,1,45,38.157398,-85.8339,9,3,6,1,5,6,5,001-KY-0055  -,0
71912443,1,20161005,1038,0,1,0,2,2,55,36.702839,-85.153908,1,2,6,1,1,2,2,001-KY-0055  -,1
71912795,1,20161214,815,0,0,2,2,2,45,37.845009,-85.459793,1,4,6,1,1,2,2,001-KY-0055  -,0
71912880,1,20161204,1700,0,0,1,1,1,55,37.163342,-83.575974,9,2,4,1,5,6,2,001-KY-0055  -,1
71915891,1,20161116,2228,0,0,0,1,1,55,38.25824,-84.565376,9,2,3,1,1,2,6,001-KY-0055  -,1
71921007,1,20161220,1521,0,0,3,2,2,70,37.097462,-84.692001,5,4,6,2,1,2,2,001-KY-0055  -,1
71921915,1,20161110,1515,0,0,4,1,1,55,37.62851,-82.264458,9,4,3,1,1,2,2,001-KY-0055  -,1
71922530,1,20161229,1706,0,0,2,2,2,45,38.221439,-84.235603,1,4,6,1,1,2,2,001-KY-0055  -,1
71924681,1,20161211,905,0,0,0,1,1,55,38.651871,-83.107903,9,2,6,1,5,6,6,001-KY-0055  -,1
71939903,1,20161108,1647,0,0,1,2,2,55,37.35252,-84.381416,4,2,4,1,5,3,2,001-KY-0055  -,0
